"Project ID","Project Name","Project Type","Task Name","Contractor Type","Labor Count","Task Duration (hours)","Task Duration (days)","Total Cost (£","Start Date","Location","Complexity Level","season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Process Equipment Erection","General",16,170,21.2,318240,"2025-03-30","Port Harcourt","Medium","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Compressor Installation","General",24,397,49.6,647904,"2025-02-02","Lagos","High","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Process Equipment Erection","Specialist",11,476,59.5,366520,"2025-12-31","Calabar","Medium","Dry season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Fire Protection Systems","Specialist",22,368,46.0,947232,"2025-05-25","Port Harcourt","Medium","Raining season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Jetty Construction","General",15,391,48.9,521985,"2025-10-14","Calabar","Medium","Raining season"
2001,"NLNG Gas Pipeline Construction","Infrastructure","Control Room Setup","General",22,426,53.2,656040,"2025-05-28","Bonny Island","Medium","Raining season"
2002,"NLNG Plant Expansion","Industrial","Cathodic Protection","Specialist",16,119,14.9,199920,"2025-05-19","Onne","High","Raining season"
2002,"NLNG Plant Expansion","Industrial","Safety Systems Installation","Specialist",17,531,66.4,803403,"2025-01-17","Uyo","High","Dry season"
2002,"NLNG Plant Expansion","Industrial","Instrumentation","General",20,593,74.1,521840,"2025-05-07","Calabar","Medium","Raining season"
2002,"NLNG Plant Expansion","Industrial","Offshore Crane Installation","General",14,436,54.5,274680,"2025-05-20","Delta","Medium","Raining season"
2002,"NLNG Plant Expansion","Industrial","HVAC for Control Room","General",7,234,29.2,90090,"2025-12-09","Abuja","Medium","Dry season"
2002,"NLNG Plant Expansion","Industrial","HVAC for Control Room","Specialist",19,233,29.1,208069,"2025-01-13","Bonny Island","Medium","Dry season"
2002,"NLNG Plant Expansion","Industrial","Tank Fabrication","General",9,422,52.8,284850,"2025-09-24","Delta","High","Raining season"
2002,"NLNG Plant Expansion","Industrial","HVAC for Control Room","General",14,412,51.5,582568,"2025-01-14","Delta","High","Dry season"
2002,"NLNG Plant Expansion","Industrial","Tank Fabrication","General",16,626,78.2,801280,"2025-08-05","Delta","High","Raining season"
2002,"NLNG Plant Expansion","Industrial","Offshore Crane Installation","General",16,181,22.6,228784,"2025-06-19","Bayelsa","High","Raining season"
2002,"NLNG Plant Expansion","Industrial","Instrumentation","Specialist",13,83,10.4,53950,"2025-11-07","Bonny Island","Medium","Dry season"
2002,"NLNG Plant Expansion","Industrial","Tank Fabrication","Specialist",15,426,53.2,466470,"2025-04-02","Onne","High","Raining season"
2002,"NLNG Plant Expansion","Industrial","Subsea Pipeline Laying","General",6,111,13.9,45954,"2025-02-27","Abuja","High","Dry season"
2002,"NLNG Plant Expansion","Industrial","Control Room Setup","Specialist",20,198,24.8,269280,"2025-12-13","Warri","Medium","Dry season"
2002,"NLNG Plant Expansion","Industrial","Subsea Pipeline Laying","General",8,220,27.5,195360,"2025-02-21","Delta","Medium","Dry season"
2002,"NLNG Plant Expansion","Industrial","Pile Driving","Specialist",20,547,68.4,1006480,"2025-07-05","Lagos","High","Raining season"
2002,"NLNG Plant Expansion","Industrial","Fire Protection Systems","General",9,201,25.1,130248,"2025-03-22","Uyo","Medium","Dry season"
2002,"NLNG Plant Expansion","Industrial","HVAC for Control Room","General",20,109,13.6,196200,"2025-07-20","Onne","High","Raining season"
2002,"NLNG Plant Expansion","Industrial","HVAC for Control Room","Specialist",25,747,93.4,1381950,"2025-01-20","Abuja","High","Dry season"
2002,"NLNG Plant Expansion","Industrial","Control Room Setup","General",21,256,32.0,537600,"2025-12-29","Bonny Island","Medium","Dry season"
2003,"NLNG Storage Tank Installation","Industrial","Tank Fabrication","General",6,714,89.2,368424,"2025-06-11","Warri","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Structural Steel Assembly","Specialist",10,575,71.9,534750,"2025-08-30","Bonny Island","High","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","HVAC for Control Room","Specialist",5,371,46.4,107590,"2025-07-28","Bayelsa","High","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Scaffolding","General",20,234,29.2,238680,"2025-04-01","Warri","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Pipeline Welding","Specialist",10,117,14.6,60840,"2025-11-08","Port Harcourt","Medium","Dry season"
2003,"NLNG Storage Tank Installation","Industrial","Testing & Commissioning","Specialist",5,561,70.1,196350,"2025-08-18","Onne","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Safety Systems Installation","General",23,178,22.2,294768,"2025-02-01","Bonny Island","Medium","Dry season"
2003,"NLNG Storage Tank Installation","Industrial","Site Clearance","Specialist",13,630,78.8,704340,"2025-09-12","Calabar","High","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Fire Protection Systems","General",10,436,54.5,436000,"2025-03-23","Delta","High","Dry season"
2003,"NLNG Storage Tank Installation","Industrial","Structural Steel Assembly","Specialist",25,486,60.8,1227150,"2025-07-07","Port Harcourt","High","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Painting & Coating","Specialist",24,632,79.0,1365120,"2025-03-03","Uyo","Medium","Dry season"
2003,"NLNG Storage Tank Installation","Industrial","Safety Systems Installation","General",10,346,43.2,224900,"2025-09-26","Bonny Island","High","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Pile Driving","General",5,172,21.5,49020,"2025-09-22","Calabar","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Compressor Installation","Specialist",7,299,37.4,209300,"2025-11-15","Onne","Medium","Dry season"
2003,"NLNG Storage Tank Installation","Industrial","Offshore Crane Installation","General",17,297,37.1,222156,"2025-08-28","Abuja","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","HVAC for Control Room","Specialist",10,704,88.0,422400,"2025-08-20","Lagos","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Jetty Construction","Specialist",6,220,27.5,75240,"2025-07-28","Uyo","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Jetty Construction","Specialist",22,588,73.5,957264,"2025-10-05","Warri","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","HVAC for Control Room","Specialist",9,727,90.9,536526,"2025-06-16","Bayelsa","Medium","Raining season"
2003,"NLNG Storage Tank Installation","Industrial","Painting & Coating","Specialist",14,223,27.9,268492,"2025-05-22","Bonny Island","High","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Offshore Crane Installation","General",10,228,28.5,234840,"2025-10-18","Calabar","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Pile Driving","General",9,360,45.0,174960,"2025-05-25","Uyo","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Control Room Setup","Specialist",8,687,85.9,406704,"2025-09-19","Uyo","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Control Room Setup","General",18,298,37.2,278928,"2025-05-21","Onne","High","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Scaffolding","General",10,316,39.5,338120,"2025-07-24","Bonny Island","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Fire Protection Systems","General",13,759,94.9,779493,"2025-04-09","Bayelsa","High","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Site Clearance","General",22,452,56.5,865128,"2025-10-02","Delta","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Jetty Construction","Specialist",5,579,72.4,162120,"2025-03-16","Onne","High","Dry season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Compressor Installation","General",24,265,33.1,591480,"2025-09-06","Onne","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","HVAC for Control Room","Specialist",13,337,42.1,276003,"2025-04-22","Uyo","High","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Safety Systems Installation","Specialist",6,795,99.4,543780,"2025-01-14","Calabar","High","Dry season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Process Equipment Erection","General",16,133,16.6,189392,"2025-08-17","Delta","High","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Offshore Crane Installation","Specialist",19,119,14.9,97223,"2025-02-17","Abuja","High","Dry season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Cathodic Protection","General",12,235,29.4,250980,"2025-09-07","Calabar","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Site Clearance","General",15,366,45.8,406260,"2025-11-28","Bonny Island","Medium","Dry season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Electrical Cabling","Specialist",18,439,54.9,837612,"2025-03-23","Abuja","Medium","Dry season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Scaffolding","General",14,226,28.2,335384,"2025-05-04","Delta","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Compressor Installation","General",22,296,37.0,358160,"2025-09-23","Port Harcourt","High","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Site Clearance","Specialist",6,617,77.1,440538,"2025-08-07","Abuja","Medium","Raining season"
2004,"NLNG Offshore Platform Upgrade","Offshore","Control Room Setup","General",21,737,92.1,820281,"2025-04-24","Bayelsa","High","Raining season"
2005,"NLNG Storage Tank Installation","Industrial","Structural Steel Assembly","Specialist",17,422,52.8,351526,"2025-08-14","Delta","Medium","Raining season"
2005,"NLNG Storage Tank Installation","Industrial","Safety Systems Installation","General",17,620,77.5,980220,"2025-03-27","Bayelsa","Medium","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Site Clearance","Specialist",8,209,26.1,96976,"2025-07-07","Bonny Island","High","Raining season"
2005,"NLNG Storage Tank Installation","Industrial","Pipeline Welding","Specialist",14,421,52.6,648340,"2025-02-03","Uyo","Medium","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Site Clearance","General",20,162,20.2,369360,"2025-02-20","Port Harcourt","Medium","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Instrumentation","General",23,677,84.6,1743952,"2025-01-27","Warri","High","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Fire Protection Systems","General",7,234,29.2,171990,"2025-12-29","Calabar","High","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Jetty Construction","Specialist",20,98,12.2,156800,"2025-12-24","Bayelsa","High","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","HVAC for Control Room","Specialist",16,655,81.9,1173760,"2025-04-24","Port Harcourt","High","Raining season"
2005,"NLNG Storage Tank Installation","Industrial","Pipeline Welding","General",17,297,37.1,252450,"2025-03-04","Lagos","Medium","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Instrumentation","Specialist",14,109,13.6,105294,"2025-10-29","Bayelsa","High","Raining season"
2005,"NLNG Storage Tank Installation","Industrial","Safety Systems Installation","General",12,469,58.6,635964,"2025-08-31","Bonny Island","High","Raining season"
2005,"NLNG Storage Tank Installation","Industrial","Pipeline Welding","General",6,392,49.0,185808,"2025-01-23","Lagos","Medium","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Offshore Crane Installation","Specialist",14,362,45.2,293944,"2025-08-30","Port Harcourt","High","Raining season"
2005,"NLNG Storage Tank Installation","Industrial","Instrumentation","General",13,131,16.4,202657,"2025-02-01","Calabar","Medium","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Scaffolding","Specialist",6,718,89.8,409260,"2025-11-05","Onne","High","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Cathodic Protection","General",6,317,39.6,142650,"2025-02-27","Delta","Medium","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Instrumentation","General",9,723,90.4,754812,"2025-11-11","Warri","High","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Scaffolding","Specialist",8,313,39.1,197816,"2025-02-21","Warri","Medium","Dry season"
2005,"NLNG Storage Tank Installation","Industrial","Jetty Construction","Specialist",19,700,87.5,1210300,"2025-01-30","Calabar","High","Dry season"
2006,"NLNG Storage Tank Installation","Industrial","Process Equipment Erection","Specialist",15,411,51.4,345240,"2025-12-05","Abuja","Medium","Dry season"
2006,"NLNG Storage Tank Installation","Industrial","Tank Fabrication","General",17,663,82.9,755157,"2025-11-13","Warri","High","Dry season"
2006,"NLNG Storage Tank Installation","Industrial","Offshore Crane Installation","General",24,738,92.2,903312,"2025-05-28","Port Harcourt","Medium","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Tank Fabrication","Specialist",19,246,30.8,556206,"2025-09-11","Delta","Medium","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Painting & Coating","Specialist",21,578,72.2,740418,"2025-04-23","Bayelsa","Medium","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Safety Systems Installation","Specialist",23,745,93.1,1987660,"2025-03-22","Port Harcourt","Medium","Dry season"
2006,"NLNG Storage Tank Installation","Industrial","Electrical Cabling","General",17,701,87.6,1370455,"2025-10-22","Warri","Medium","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Pile Driving","Specialist",13,397,49.6,397397,"2025-06-27","Bonny Island","Medium","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Site Clearance","General",14,527,65.9,715666,"2025-10-20","Lagos","High","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","HVAC for Control Room","General",12,424,53.0,524064,"2025-07-23","Uyo","High","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Site Clearance","General",13,505,63.1,413595,"2025-08-11","Warri","High","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Structural Steel Assembly","Specialist",8,605,75.6,237160,"2025-12-19","Warri","Medium","Dry season"
2006,"NLNG Storage Tank Installation","Industrial","Tank Fabrication","General",6,353,44.1,120726,"2025-10-19","Bayelsa","High","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Control Room Setup","Specialist",9,416,52.0,153504,"2025-01-10","Bonny Island","Medium","Dry season"
2006,"NLNG Storage Tank Installation","Industrial","Offshore Crane Installation","Specialist",22,575,71.9,822250,"2025-11-02","Bonny Island","Medium","Dry season"
2006,"NLNG Storage Tank Installation","Industrial","Subsea Pipeline Laying","General",11,741,92.6,978120,"2025-02-01","Bonny Island","Medium","Dry season"
2006,"NLNG Storage Tank Installation","Industrial","Instrumentation","General",15,417,52.1,650520,"2025-10-17","Delta","Medium","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Structural Steel Assembly","General",20,798,99.8,1516200,"2025-07-22","Calabar","Medium","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Testing & Commissioning","Specialist",14,122,15.2,73444,"2025-07-08","Abuja","High","Raining season"
2006,"NLNG Storage Tank Installation","Industrial","Painting & Coating","Specialist",13,399,49.9,363090,"2025-05-20","Warri","Medium","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Control Room Setup","Specialist",14,608,76.0,366016,"2025-11-06","Delta","Medium","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Testing & Commissioning","General",9,277,34.6,104706,"2025-09-30","Onne","Medium","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Subsea Pipeline Laying","Specialist",11,745,93.1,909645,"2025-03-08","Warri","Medium","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Process Equipment Erection","Specialist",9,88,11.0,92664,"2025-05-13","Bonny Island","Medium","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","HVAC for Control Room","General",8,661,82.6,454768,"2025-01-30","Onne","Medium","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Subsea Pipeline Laying","Specialist",6,347,43.4,201954,"2025-10-09","Port Harcourt","High","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Offshore Crane Installation","General",19,301,37.6,583338,"2025-10-05","Lagos","Medium","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Control Room Setup","General",7,585,73.1,372645,"2025-02-25","Abuja","Medium","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Instrumentation","General",7,527,65.9,228718,"2025-04-27","Abuja","High","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Process Equipment Erection","Specialist",5,407,50.9,126170,"2025-07-08","Abuja","High","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Painting & Coating","Specialist",24,125,15.6,309000,"2025-03-03","Onne","High","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Painting & Coating","Specialist",22,534,66.8,1045572,"2025-04-18","Onne","High","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Pile Driving","General",22,102,12.8,208692,"2025-11-09","Bonny Island","Medium","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Jetty Construction","General",9,362,45.2,250866,"2025-06-08","Warri","High","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Fire Protection Systems","Specialist",22,230,28.8,602140,"2025-01-25","Warri","High","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Cathodic Protection","General",19,568,71.0,593560,"2025-01-26","Bonny Island","Medium","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Tank Fabrication","General",24,368,46.0,600576,"2025-07-15","Port Harcourt","Medium","Raining season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Compressor Installation","General",11,793,99.1,453596,"2025-12-06","Abuja","High","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Cathodic Protection","General",11,396,49.5,213444,"2025-01-08","Warri","High","Dry season"
2007,"NLNG Offshore Platform Upgrade","Offshore","Pipeline Welding","General",22,236,29.5,363440,"2025-06-19","Delta","Medium","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","HVAC for Control Room","Specialist",20,96,12.0,94080,"2025-07-03","Lagos","Medium","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","Pile Driving","Specialist",13,712,89.0,842296,"2025-05-18","Warri","Medium","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","Subsea Pipeline Laying","General",22,142,17.8,215556,"2025-11-18","Warri","High","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Process Equipment Erection","General",18,668,83.5,1226448,"2025-04-09","Warri","Medium","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","Compressor Installation","General",12,690,86.2,339480,"2025-12-22","Delta","High","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Safety Systems Installation","General",25,147,18.4,323400,"2025-01-09","Lagos","Medium","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","HVAC for Control Room","Specialist",12,671,83.9,644160,"2025-03-20","Port Harcourt","Medium","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Site Clearance","Specialist",13,220,27.5,223080,"2025-05-31","Calabar","Medium","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","Instrumentation","Specialist",8,168,21.0,146496,"2025-03-07","Bonny Island","High","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Pipeline Welding","Specialist",15,475,59.4,484500,"2025-12-04","Delta","High","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Compressor Installation","Specialist",16,367,45.9,604816,"2025-12-18","Bayelsa","Medium","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Offshore Crane Installation","Specialist",12,174,21.8,131544,"2025-08-09","Calabar","High","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","Testing & Commissioning","Specialist",10,160,20.0,145600,"2025-05-04","Lagos","High","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","Process Equipment Erection","General",23,515,64.4,1208190,"2025-12-20","Uyo","High","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Offshore Crane Installation","General",13,87,10.9,128934,"2025-03-20","Uyo","High","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Compressor Installation","Specialist",13,731,91.4,446641,"2025-02-23","Delta","High","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Scaffolding","General",9,548,68.5,419220,"2025-05-20","Bonny Island","Medium","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","HVAC for Control Room","Specialist",11,371,46.4,199969,"2025-02-02","Calabar","Medium","Dry season"
2008,"NLNG Storage Tank Installation","Industrial","Jetty Construction","General",21,152,19.0,264936,"2025-08-31","Uyo","High","Raining season"
2008,"NLNG Storage Tank Installation","Industrial","Fire Protection Systems","Specialist",23,166,20.8,355074,"2025-02-06","Calabar","High","Dry season"
2009,"NLNG Plant Expansion","Industrial","Electrical Cabling","General",16,703,87.9,922336,"2025-08-25","Bayelsa","Medium","Raining season"
2009,"NLNG Plant Expansion","Industrial","Control Room Setup","General",25,674,84.2,1179500,"2025-10-21","Port Harcourt","Medium","Raining season"
2009,"NLNG Plant Expansion","Industrial","Jetty Construction","Specialist",7,201,25.1,137886,"2025-05-16","Abuja","High","Raining season"
2009,"NLNG Plant Expansion","Industrial","Subsea Pipeline Laying","General",8,677,84.6,482024,"2025-10-15","Bonny Island","Medium","Raining season"
2009,"NLNG Plant Expansion","Industrial","Pile Driving","Specialist",8,281,35.1,155112,"2025-12-02","Onne","Medium","Dry season"
2009,"NLNG Plant Expansion","Industrial","Cathodic Protection","General",10,760,95.0,767600,"2025-02-19","Bonny Island","High","Dry season"
2009,"NLNG Plant Expansion","Industrial","Instrumentation","Specialist",9,344,43.0,269352,"2025-11-07","Lagos","Medium","Dry season"
2009,"NLNG Plant Expansion","Industrial","Tank Fabrication","General",17,511,63.9,764456,"2025-10-10","Uyo","Medium","Raining season"
2009,"NLNG Plant Expansion","Industrial","Offshore Crane Installation","General",19,503,62.9,640319,"2025-08-18","Calabar","Medium","Raining season"
2009,"NLNG Plant Expansion","Industrial","Subsea Pipeline Laying","Specialist",13,337,42.1,442481,"2025-01-20","Port Harcourt","Medium","Dry season"
2009,"NLNG Plant Expansion","Industrial","Pipeline Welding","Specialist",17,151,18.9,300339,"2025-11-05","Onne","Medium","Dry season"
2009,"NLNG Plant Expansion","Industrial","Tank Fabrication","Specialist",17,296,37.0,568616,"2025-03-12","Port Harcourt","High","Dry season"
2009,"NLNG Plant Expansion","Industrial","Safety Systems Installation","Specialist",16,242,30.2,344608,"2025-04-28","Warri","High","Raining season"
2009,"NLNG Plant Expansion","Industrial","Compressor Installation","General",6,111,13.9,48618,"2025-05-10","Port Harcourt","High","Raining season"
2009,"NLNG Plant Expansion","Industrial","Painting & Coating","General",14,123,15.4,173922,"2025-12-10","Delta","Medium","Dry season"
2009,"NLNG Plant Expansion","Industrial","Pipeline Welding","Specialist",5,792,99.0,217800,"2025-07-16","Bonny Island","High","Raining season"
2009,"NLNG Plant Expansion","Industrial","Subsea Pipeline Laying","General",23,686,85.8,773122,"2025-10-14","Lagos","Medium","Raining season"
2009,"NLNG Plant Expansion","Industrial","HVAC for Control Room","General",20,767,95.9,1441960,"2025-03-06","Bonny Island","Medium","Dry season"
2009,"NLNG Plant Expansion","Industrial","Instrumentation","Specialist",13,381,47.6,351663,"2025-08-26","Onne","High","Raining season"
2009,"NLNG Plant Expansion","Industrial","Testing & Commissioning","Specialist",15,641,80.1,653820,"2025-10-13","Bayelsa","High","Raining season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Pile Driving","Specialist",8,286,35.8,125840,"2025-01-12","Uyo","Medium","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Electrical Cabling","General",5,557,69.6,158745,"2025-06-18","Warri","High","Raining season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Pile Driving","Specialist",17,96,12.0,106080,"2025-10-31","Port Harcourt","High","Raining season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Compressor Installation","Specialist",10,574,71.8,252560,"2025-08-28","Onne","Medium","Raining season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Site Clearance","General",15,505,63.1,303000,"2025-03-07","Lagos","High","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Offshore Crane Installation","General",6,660,82.5,293040,"2025-02-05","Port Harcourt","High","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Offshore Crane Installation","General",13,700,87.5,409500,"2025-02-19","Bayelsa","Medium","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Site Clearance","General",12,650,81.2,436800,"2025-07-31","Onne","High","Raining season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Pipeline Welding","Specialist",15,280,35.0,415800,"2025-02-04","Lagos","High","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Testing & Commissioning","Specialist",9,495,61.9,325215,"2025-11-23","Abuja","Medium","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Scaffolding","Specialist",18,530,66.2,648720,"2025-09-15","Port Harcourt","Medium","Raining season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Offshore Crane Installation","Specialist",10,341,42.6,153450,"2025-01-07","Abuja","Medium","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Painting & Coating","General",8,611,76.4,351936,"2025-11-09","Port Harcourt","Medium","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Instrumentation","General",24,214,26.8,575232,"2025-02-20","Bonny Island","High","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Painting & Coating","General",10,455,56.9,300300,"2025-05-17","Calabar","Medium","Raining season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Subsea Pipeline Laying","Specialist",23,180,22.5,293940,"2025-12-03","Uyo","Medium","Dry season"
2010,"NLNG Gas Pipeline Construction","Infrastructure","Subsea Pipeline Laying","Specialist",23,246,30.8,384744,"2025-08-21","Delta","High","Raining season"
